id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,color,size,age_group,material,pattern,shipping,shipping_weight,gtin,video[0].url,video[0].tag[0],style[0]
502023,Laduree Quiche,Laduree Quiche from Main Dishes category,in stock,new,59.00 AED,https://yourwebsite.com/menu/502023,http://43.205.113.48/iposapi/images/Cat52.png,Restaurant,100,,,,,all ages,,,,,502023,,,
502021,Pea n Morel Risotto,Pea n Morel Risotto from Main Dishes category,in stock,new,79.00 AED,https://yourwebsite.com/menu/502021,http://43.205.113.48/iposapi/images/Cat52.png,Restaurant,100,,,,,all ages,,,,,502021,,,
502022,Penne Arrabiata Sauce,Penne Arrabiata Sauce from Main Dishes category,in stock,new,75.00 AED,https://yourwebsite.com/menu/502022,http://43.205.113.48/iposapi/images/Cat52.png,Restaurant,100,,,,,all ages,,,,,502022,,,
502009,Rigatoni Arrabiata,Rigatoni Arrabiata from Main Dishes category,in stock,new,69.00 AED,https://yourwebsite.com/menu/502009,http://43.205.113.48/iposapi/images/Cat52.png,Restaurant,100,,,,,all ages,,,,,502009,,,
502006,Saffron risotto chicken,Saffron risotto chicken from Main Dishes category,in stock,new,105.00 AED,https://yourwebsite.com/menu/502006,http://43.205.113.48/iposapi/images/Cat52.png,Restaurant,100,,,,,all ages,,,,,502006,,,
502007,Saffron risotto Prawns,Saffron risotto Prawns from Main Dishes category,in stock,new,119.00 AED,https://yourwebsite.com/menu/502007,http://43.205.113.48/iposapi/images/Cat52.png,Restaurant,100,,,,,all ages,,,,,502007,,,
502011,Saffron Risotto Regular,Saffron Risotto Regular from Main Dishes category,in stock,new,89.00 AED,https://yourwebsite.com/menu/502011,http://43.205.113.48/iposapi/images/Cat52.png,Restaurant,100,,,,,all ages,,,,,502011,,,
A001051,TAMIL CHICKEN CURRY,TAMIL CHICKEN CURRY from Main Dishes category,in stock,new,50.00 AED,https://yourwebsite.com/menu/A001051,http://43.205.113.48/iposapi/images/Item10512.png,Restaurant,100,,,,,all ages,,,,,A001051,,,
502008,Truffle mushroom risotto,Truffle mushroom risotto from Main Dishes category,in stock,new,99.00 AED,https://yourwebsite.com/menu/502008,http://43.205.113.48/iposapi/images/Cat52.png,Restaurant,100,,,,,all ages,,,,,502008,,,
502005,Vol au vent,Vol au vent from Main Dishes category,in stock,new,139.00 AED,https://yourwebsite.com/menu/502005,http://43.205.113.48/iposapi/images/Cat52.png,Restaurant,100,,,,,all ages,,,,,502005,,,
800062,Gold/Silver,Gold/Silver from Macarons category,in stock,new,4.00 AED,https://yourwebsite.com/menu/800062,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,800062,,,
503406,MAC MINI  VANILLA,MAC MINI  VANILLA from Macarons category,in stock,new,13.00 AED,https://yourwebsite.com/menu/503406,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,503406,,,
503401,MAC MINI CARAMEL,MAC MINI CARAMEL from Macarons category,in stock,new,13.00 AED,https://yourwebsite.com/menu/503401,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,503401,,,
503402,MAC MINI CHOCOLATE,MAC MINI CHOCOLATE from Macarons category,in stock,new,13.00 AED,https://yourwebsite.com/menu/503402,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,503402,,,
503403,MAC MINI COFFEE,MAC MINI COFFEE from Macarons category,in stock,new,13.00 AED,https://yourwebsite.com/menu/503403,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,503403,,,
503423,Mac mini ginger bread,Mac mini ginger bread from Macarons category,in stock,new,13.00 AED,https://yourwebsite.com/menu/503423,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,503423,,,
